,Atorvastatin (N = 1902),,Fluvastatin (N = 477),,Lovastatin (N = 476),,Pravastatin (N = 462),,Simvastatin (N = 468),
Variable,,,,,,,,,,
Age (years),,,,,,,,,,
n,1902,,477,,476,,462,,468,
Mean (SE),61.3,0.2,61.4,0.5,61.5,0.5,61.1,0.5,60.9,0.5
Age Distribution,,,,,,,,,,
<70 years,1396,,343,,353,,349,,351,
≥70 years,506,,134,,123,,113,,117,
Race n (%),,,,,,,,,,
White/Caucasian,1682,88.4,425,89.1,433,91,410,88.7,417,89.1
Black,130,6.8,27,5.7,25,5.3,24,5.2,28,6
Asian,24,1.3,8,1.7,5,1.1,8,1.7,8,1.7
Other Race,66,3.5,17,3.6,13,2.7,20,4.3,15,3.2
Gender n (%),,,,,,,,,,
Male,1172,61.6,294,61.6,289,60.7,289,62.6,271,57.9
Female,730,38.4,183,38.4,187,39.3,173,37.4,197,42.1
Body Mass Index (kg/m^2),,,,,,,,,,
n,1805,,449,,446,,439,,440,
Mean (SE),28.7,0.1,28.5,0.2,28.8,0.2,28.6,0.2,28.5,0.2
Risk Status n (%),,,,,,,,,,
<2 risk factors,233,12.3,60,12.6,49,10.3,58,12.6,51,10.9
≥2 risk factors,383,20.1,95,19.9,95,20,104,22.5,114,24.4
CHD or PVD,1286,67.6,322,67.5,332,69.7,300,64.9,303,64.7
Type of Hyperlipidemia n (%),,,,,,,,,,
Type IIa,1153,60.6,292,61.2,274,57.6,280,60.6,295,63
Mixed Dyslipidemia,749,39.4,185,38.8,202,42.4,182,39.4,173,37
LDLC (mg/dL),,,,,,,,,,
N,1902,,477,,476,,462,,468,
Mean (SE),178.5,0.8,179,1.6,178,1.5,179.3,1.6,176,1.4
HDLC (mg/dL),,,,,,,,,,
N,1902,,477,,476,,462,,468,
Mean (SE),47.8,0.3,46.8,0.5,47.2,0.5,47.8,0.5,48.1,0.5
LDLC/HDLC Ratio,,,,,,,,,,
N,1902,,477,,476,,462,,468,
Mean (SE),3.9,0,4,0,4,0,3.9,0,3.8,0.1
Triglycerides (mg/dL),,,,,,,,,,
N,1902,,477,,476,,462,,468,
Mean (SE),189.6,1.7,189.8,3.2,195.8,3.5,187.8,3.5,187.7,3.5
Total Cholesterol (mg/dL),,,,,,,,,,
N,1902,,477,,476,,462,,468,
Mean (SE),264.1,0.9,263.7,1.8,264.2,1.7,264.6,1.8,261.5,1.7
Apolipoprotein B (mg/dL),,,,,,,,,,
N,1873,,472,,468,,453,,464,
Mean (SE),169.8,0.7,168.2,1.2,170.1,1.2,168.5,1.3,166.2,1.3
