(B),Gla-300,,,Gla-100,,,,Mean difference
Study or subgroup,Mean,SD,Total,Mean,SD,Total,Weight,"IV, Random, 95% CI"
Bolli 2015,-3.41,2.07,432,-3.8,2.28,430,0.3%,"0.39 [0.10, 0.68]"
Bolli 2017,-3.16,2.51,439,-3.23,2.51,439,0.2%,"0.07 [-0.26, 0.40]"
Jarvinen 2014,-1.14,3.42,375,-1.06,3.02,379,0.1%,"-0.08 [-0.54, 0.38]"
Jarvinen 2015,-0.8,3.07,403,-1,10.26,405,0.0%,"0.20 [-0.84, 1.24]"
Linong 2019,-3.4,1.96,385,-3.6,1.4,196,0.3%,"0.20 [-0.08, 0.48]"
Riddle 2014,-1.48,3.11,404,-1.69,3.21,400,0.1%,"0.21 [-0.23, 0.65]"
Riddle 2015,-1.6,3.63,404,-1.4,4.04,402,0.1%,"-0.20 [-0.73, 0.33]"
Ritzel 2018,-1.68,0.12,508,-1.77,0.14,506,98.6%,"0.09 [0.07, 0.11]"
Terauchi 2016,-1.21,1.75,120,-1.25,1.75,120,0.1%,"0.04 [-0.40, 0.48]"
Terauchi 2017,-0.7,3.1,120,-1,2.4,120,0.1%,"0.30 [-0.40, 1.00]"
Total (95% CI),,,3590,,,3397,100.0%,"0.09 [0.08, 0.11]"
