(C),Gla-300,,,Gla-100,,,,Mean difference
Study or subgroup,Mean,SD,Total,Mean,SD,Total,Weight,"IV, Random, 95% CI"
Bolli 2017,0.97,4.32,439,1.2,4.16,439,13.4%,"-0.23 [-0.79, 0.33]"
Jarvinen 2014,0.08,3.45,403,0.66,3.01,406,14.4%,"-0.58 [-1.03, -0.13]"
Jarvinen 2015,0.4,4.1,403,1.2,3.6,406,13.6%,"-0.80 [-1.33, -0.27]"
Linong 2019,1.75,2.49,401,1.69,2.51,203,14.6%,"0.06 [-0.36, 0.48]"
Riddle 2015,1.2,3.8,404,1.4,3.4,402,14.0%,"-0.20 [-0.70, 0.30]"
Terauchi 2016,-0.6,2.19,120,0.4,2.19,120,13.4%,"-1.00 [-1.55, -0.45]"
Terauchi 2017,-0.7,0.2,120,0.5,0.2,120,16.6%,"-1.20 [-1.25, -1.15]"
Total (95% CI),,,2290,,,2096,100.0%,"-0.58 [-1.04, -0.11]"
