(D),Gla-300,,,Gla-100,,,,Mean difference
Study or subgroup,Mean,SD,Total,Mean,SD,Total,Weight,"IV, Random, 95% CI"
Jarvinen 2014,0.28,0.38,403,0.18,0.36,405,16.2%,"0.10 [0.05, 0.15]"
Jarvinen 2015,0.28,0.42,402,0.17,0.42,403,12.6%,"0.11 [0.05, 0.17]"
Linong 2019,0.16,0,373,0.11,0,195,,"Not estimable"
Riddle 2014,0.3,0.9,404,0.21,0.69,402,3.5%,"0.09 [-0.02, 0.20]"
Riddle 2015,0.362,0.46,404,0.233,0.43,402,11.2%,"0.13 [0.07, 0.19]"
Terauchi 2016,0.24,0.4,120,0.15,0.44,120,3.7%,"0.09 [-0.02, 0.20]"
Terauchi 2017,0.13,0.13,120,0.06,0.09,120,52.8%,"0.07 [0.04, 0.10]"
Total (95% CI),,,2226,,,2047,100.0%,"0.09 [0.07, 0.11]"
