Investigator#,Name/Location,Dates of Participation*,Patient Identifier Series
0001,"Elizabeth Arthur, MD, Rochester, NY",13 June to 6 February 2004,"0050-0056, 0141-0154, 0582-0588, 1282-1288"
0002,"James Aton, MD, Martinez, GA",12 August to 6 January 2004,"0253-0259, 0862-0868, 1079-1082"
0003,"Diane Baker, MD, Lake Oswego, OR",5 August to 22 January 2004,"0001-0007, 0911-0929"
0004,"Arthur Balin, MD, Media, PA",18 September to 20 January 2004,"1163-1169, 1352-1365, 1674-1676"
0006,"Debra Breneman, MD, Cincinnati, OH",7 August to 14 January 2004,"0498-0504, 0652-0672, 1366-1370"
0007,"Alicia Bucko, MD, Albuquerque, NM",6 June to 14 November 2003,"0008-0014, 0036-0049, 0295-0301, 0561-0566"
0008,"William Burrows, MD, San Diego, CA",28 August to 15 January 2004,"0330-0336, 0687-0700"
0009,"Bret Davis, MD, Santa Barbara, CA",2 September to 23 January 2004,"0722-0728, 1030-1036, 1331-1337, 1660-1664"
0011,"Alan J. Fleischer, Jr. MD, Winston-Salem, NC",30 July to 4 February 2004,"0302-0308, 0393-0399, 0715-0721, 1317-1322"
0012,"Javier Flores, MD, Miami, FL",24 July to 3 February 2004,"0015-0021, 0540-0553, 1009-1022, 1828"
0013,"J. John Goodman, MD, West Palm Beach, FL",23 July to 30 January 2004,"0232-0238, 0603-0616, 1723"
0014,"Karen Harkaway, MD, Dehran, NJ",4 September to 26 January 2004,"0204-0206, 1170-1176, 1562-1563"
0015,"William Harwell, MD, Nashville, TN",12 August to 3 February 2004,"0246-0252, 0701-0714, 1730-1733"
0016,"John Herndon, MD, Dallas, TX",15 August to 9 February 2004,"0288-0294, 0638-0651, 1107-1120, 1338-1351, 1737-1743, 1821-1827"
0018,"Michael Jarratt, MD, Austin, TX",17 June to 22 January 2004,"0022-0028, 0120-0131, 1037-1043"
0019,"Norman Kanof, MD, Port Chester, NY",9 September to 20 January 2004,"1044-1057, 1177-1183"
0020,"Steven Kempers, MD, Fridley, MN",30 June to 26 January 2004,"0029-0035, 0183-0186, 0750-0755"
0021,"Leon Kircik, MD, Louisville, KY",20 June to 4 February 2004,"0057-0063, 0855-0861, 1373-1379, 1611-1617"
0024,"Anne Lucky, MD, Cincinnati, OH",28 July to 7 January 2004,"0134-0140, 0554-0557"
0025,"Dale E. Martin, MD, San Diego, CA",21 July to 12 January 2004,"0337-0339, 1184"
0026,"David McDaniel, MD, Virginia Beach, VA",7 August to 29 January 2004,"0225-0231, 0876-0887"
0027,"Oswald L. Mikell, MD, Hilton Head, NC",27 June to 5 January 2004,"0099-0105, 0113-0119, 0155-0161, 1065-1077, 1191-1192"
0028,"Bruce Miller, MD, Portland, OR",8 July to 12 January 2004,"0064-0070, 0533-0539, 0932-0944"
0029,"Stephen Miller, MD, San Antonio, TX",2 September to 15 January 2004,"0799-0805, 0890-0896, 1702-1707"
0030,"Larry Millikan, MD, New Orleans, LA",6 October to 8 January 2004,1324-1330
0031,"Eugene Monroe, MD, Milwaukee, WI",16 July to 29 January 2004,"0071-0077, 0568-0574, 1513"
0032,"Manuel Morman, MD, Rutherford, NJ",31 July to 21 January 2004,"0316-0318, 1240-1246, 1625"
0033,"George Neumaier, MD, Piscataway, NJ",17 July to 28 January 2004,"0107, 1205-1206"
0034,"Alice Pentland, MD, Rochester, NY",6 August to 19 January 2004,"0379-0385, 1058-1064, 1303-1307"
0035,"Marina Peredo, MD, Smithtown, NY",23 June to 8 January 2004,"0078-0084, 0512-0525, 1023-1029, 1310-1316"
0036,"Phoebe Rich, MD, Portland, OR",30 June to 17 December 2003,"0085-0091, 0162-0176, 1247-1253, 1401"
0037,"Howard A. Rubin, MD, Dallas, TX",31 July to 30 December 2003,"0218-0224, 0729-0735, 0785-0790"
0040,"Stacy Smith, MD, La Jolla, CA",29 July to 3 February 2004,"0323-0329, 0631-0637, 0736-0745"
0041,"Raymond Cornelison, MD, Oklahoma City, OK",6 November to 26 January 2004,1597-1600
0042,"Dow B. Stough, MD, Hot Springs, AR",18 June to 14 January 2004,"0092-0098, 0365, 1212-1214"
0044,"Leonard Swinyer, MD, Salt Lake City, UT",11 August to 29 January 2004,"0260-0266, 0869-0875, 1548-1551"
0045,"Naji Tawfik, MD, Evansville, IL",30 July to 6 February 2004,"0190-0196, 0820-0840, 1422-1428, 1667-1673, 1807-1810"
0046,"Dianne Thiboutot, MD, Hershey, PA",15 August to 21 January 2004,"0505-0511, 0946-0950"
0047,"Helen Mary Torok, MD, Median, OH",6 August to 12 February 2004,"0351-0354, 1156-1162, 1555-1561, 1632-1638"
0049,"Jennifer Vesper, MD, St. Petersburg, FL",31 July to 16 January 2004,"0267-0273, 0589-0595, 0841-0844"
0050,"Hector Wiltz, MD, Miami, FL",27 August to 21 January 2004,"0673-0686, 1142-1155, 1464-1474"
0052,"Melinda Musick, MD, Huntsville, AL",22 August to 29 January 2004,"0792-0798, 0960-0973, 1093-1106, 1506"
0053,"Harry Sharata, MD, Madison, WI",29 July 2003 to 26 January 2004,"0211-0217, 0526-0532, 0575-0581, 1457-1463"
0054,"Jonathan Weiss, MD, Snellville, GA",7 August to 26 January 2004,"0358-0363, 1121-1127"
0055,"Patricia Westmoreland, MD, Simpsonville, SC",8 August to 15 January 2004,"0281-0286, 0848-0854, 1478-1484, 1653-1659, 1716-1722"
0056,"Robert Glinert, MD, Madison, WI",27 August to 22 January 2004,"0386-0392, 0757-0774"
0058,"Charles C. Dugan, MD, West Palm Beach, FL",16 September to 5 February 2004,"1219-1225, 1415-1421, 1618-1624, 1744-1750"
0059,"Daniel Hogan, MD, Shreveport, LA",30 September to 29 January 2004,"1226-1232, 1429-1456, 1751-1752"
0060,"Mark Lee, MD, San Antonio, TX",18 August to 21 January 2004,"0596-0602, 0617-0630, 0897-0910, 0981-0989"
0061,"Robert Roth, MD, Fremont, CA",12 November to 12 November 2003,1576
0062,"Kimberly Grande, MD, Knoxville, TN",15 September to 29 January 2004,"0813-0819, 1254-1260, 1380-1386, 1590"
0063,"Dennis Michael Hull, MD, Mt. Pleasant, SC",9 September to 23 January 2004,"0806-0812, 1233-1239, 1387-1400, 1709-1715"
0064,"Ray Parker, Jr., MD, Little Rock, AR",12 September to 14 January 2004,"1135-1141, 1261-1272"
0065,"David Hassman, DO, Berlin, NJ",30 September to 2 February 2004,"0974-0980, 1492-1505, 1758-1764, 1814-1817"
"One investigator, Dr. David B. Friedman, MD at Site no. 66, received study drug; however, he did not enroll any patients in the study.",,,
